pear_price,date
"3,333",2016-06-17
"3,333",2016-06-20
"3,333",2016-06-21
"3,333",2016-06-22
"3,333",2016-06-23
"3,333",2016-06-24
"3,333",2016-06-27
"3,333",2016-06-28
"3,333",2016-06-29
"3,333",2016-06-30
"3,333",2016-07-01
"3,333",2016-07-04
"3,333",2016-07-05
"3,333",2016-07-06
"3,333",2016-07-07
"3,533",2016-07-08
"3,667",2016-07-11
"3,667",2016-07-12
"3,667",2016-07-13
"3,667",2016-07-14
"3,667",2016-07-15
"3,667",2016-07-18
"3,800",2016-07-19
"3,800",2016-07-20
"3,933",2016-07-21
"3,933",2016-07-22
"4,000",2016-07-25
"4,000",2016-07-26
"4,000",2016-07-27
"4,000",2016-07-28
"4,000",2016-07-29
"4,000",2016-08-01
"4,000",2016-08-02
"4,000",2016-08-03
"4,000",2016-08-04
"4,000",2016-08-05
"4,000",2016-08-08
"4,000",2016-08-09
"4,000",2016-08-10
"4,000",2016-08-11
"4,000",2016-08-12
"4,000",2016-08-16
"4,000",2016-08-17
"4,000",2016-08-18
"4,000",2016-08-19
"4,000",2016-08-22
"4,000",2016-08-23
"4,000",2016-08-24
"4,000",2016-08-25
"4,000",2016-08-26
"4,000",2016-08-29
"4,000",2016-08-30
"4,000",2016-08-31
"4,000",2016-09-01
"4,000",2016-09-02
"4,000",2016-09-05
"4,000",2016-09-06
"4,000",2016-09-07
"4,000",2016-09-08
"4,000",2016-09-09
"4,000",2016-09-12
"3,667",2016-09-13
"3,667",2016-09-19
"3,667",2016-09-20
"3,667",2016-09-21
"3,667",2016-09-22
"3,667",2016-09-23
"3,467",2016-09-26
"3,467",2016-09-27
"3,467",2016-09-28
"3,467",2016-09-29
"3,333",2016-09-30
"3,333",2016-10-04
"3,333",2016-10-05
"3,133",2016-10-06
"3,000",2016-10-07
"3,000",2016-10-10
"3,000",2016-10-11
"3,000",2016-10-12
"3,200",2016-10-13
"2,933",2016-10-14
"2,933",2016-10-17
"2,933",2016-10-18
"2,933",2016-10-19
"2,933",2016-10-20
"2,933",2016-10-21
"2,800",2016-10-24
"2,800",2016-10-25
"2,800",2016-10-26
"2,800",2016-10-27
"2,800",2016-10-28
"2,800",2016-10-31
"2,800",2016-11-01
"2,800",2016-11-02
"2,800",2016-11-03
"2,800",2016-11-04
"2,800",2016-11-07
"2,800",2016-11-08
"2,800",2016-11-09
"2,867",2016-11-10
"2,867",2016-11-11
"2,867",2016-11-14
"2,867",2016-11-15
"2,733",2016-11-16
"2,733",2016-11-17
"2,733",2016-11-18
"2,733",2016-11-21
"2,733",2016-11-22
"2,733",2016-11-23
"2,733",2016-11-24
"2,800",2016-11-25
"2,800",2016-11-28
"2,800",2016-11-29
"2,800",2016-11-30
"2,800",2016-12-01
"2,800",2016-12-05
"2,667",2016-12-06
"2,667",2016-12-07
"2,800",2016-12-08
"2,800",2016-12-09
"3,000",2016-12-12
"3,000",2016-12-13
"3,000",2016-12-14
"3,000",2016-12-15
"3,000",2016-12-16
"3,000",2016-12-19
"3,000",2016-12-20
"3,000",2016-12-21
"3,000",2016-12-22
"3,000",2016-12-23
"3,000",2016-12-26
"3,000",2016-12-27
"3,000",2016-12-28
"3,000",2016-12-29
"3,000",2016-12-30
